item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
110190LF,2021-12-31 00:00:00,1404.0,2021Q4,2021-12-31 00:00:00,1003.0,0.7143874643874644,0.5341880341880342
110190LF,2022-03-31 00:00:00,3744.0,2022Q1,2022-03-31 00:00:00,2340.0,0.625,0.7143874643874644
110190LF,2022-09-30 00:00:00,936.0,2022Q3,2022-09-30 00:00:00,3058.0,3.267094017094017,0.625
110190LF,2023-03-31 00:00:00,2808.0,2023Q1,0,0.0,0.0,3.267094017094017
110190LF,2023-06-30 00:00:00,936.0,2023Q2,0,0.0,0.0,0.0
110191LF,2021-03-31 00:00:00,6.0,2021Q1,0,0.0,0.0,
110191LF,2021-12-31 00:00:00,48.0,2021Q4,0,0.0,0.0,0.0
110191LF,2022-06-30 00:00:00,48.0,2022Q2,0,0.0,0.0,0.0
110192LF,2021-09-30 00:00:00,27612.0,2021Q3,2021-09-30 00:00:00,36824.0,1.3336230624366217,
110192LF,2021-12-31 00:00:00,22464.0,2021Q4,2021-12-31 00:00:00,16955.0,0.7547631766381766,1.3336230624366217
110192LF,2022-03-31 00:00:00,25740.0,2022Q1,2022-03-31 00:00:00,26296.0,1.0216006216006217,0.7547631766381766
110192LF,2022-06-30 00:00:00,12636.0,2022Q2,2022-06-30 00:00:00,5618.0,0.44460272238050014,1.0216006216006217
110192LF,2022-09-30 00:00:00,22464.0,2022Q3,2022-09-30 00:00:00,6929.0,0.30844907407407407,0.44460272238050014
110192LF,2023-03-31 00:00:00,25236.0,2023Q1,2023-03-31 00:00:00,7020.0,0.2781740370898716,0.30844907407407407
110192LF,2023-06-30 00:00:00,14040.0,2023Q2,2023-06-30 00:00:00,31788.0,2.264102564102564,0.2781740370898716
110192LF,2023-09-30 00:00:00,1872.0,2023Q3,2023-09-30 00:00:00,4212.0,2.25,2.264102564102564
110193LF,2021-06-30 00:00:00,1404.0,2021Q2,0,0.0,0.0,
110193LF,2021-09-30 00:00:00,4212.0,2021Q3,2021-09-30 00:00:00,6964.0,1.6533713200379867,0.0
110193LF,2021-12-31 00:00:00,936.0,2021Q4,2021-12-31 00:00:00,2295.0,2.451923076923077,1.6533713200379867
110193LF,2022-03-31 00:00:00,2808.0,2022Q1,2022-03-31 00:00:00,2545.0,0.9063390313390314,2.451923076923077
110193LF,2022-06-30 00:00:00,1872.0,2022Q2,2022-06-30 00:00:00,2340.0,1.25,0.9063390313390314
110193LF,2022-09-30 00:00:00,4212.0,2022Q3,2022-09-30 00:00:00,678.0,0.16096866096866097,1.25
110193LF,2023-03-31 00:00:00,2808.0,2023Q1,2023-03-31 00:00:00,2340.0,0.8333333333333334,0.16096866096866097
110193LF,2023-06-30 00:00:00,4668.0,2023Q2,2023-06-30 00:00:00,3276.0,0.7017994858611826,0.8333333333333334
110194LF,2021-03-31 00:00:00,12.0,2021Q1,0,0.0,0.0,
110194LF,2021-09-30 00:00:00,48.0,2021Q3,2021-09-30 00:00:00,96.0,2.0,0.0
110194LF,2022-06-30 00:00:00,430.0,2022Q2,0,0.0,0.0,2.0
110194LF,2023-03-31 00:00:00,96.0,2023Q1,2023-03-31 00:00:00,132.0,1.375,0.0
