item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
111031,2022-12-31 00:00:00,2460.0,2022,2022-12-31 00:00:00,1699.0,0.6906504065040651,0.5740740740740741
111031,2023-12-31 00:00:00,300.0,2023,2023-12-31 00:00:00,960.0,3.2,0.6906504065040651
111034,2021-12-31 00:00:00,1620.0,2021,2021-12-31 00:00:00,1585.0,0.9783950617283951,
111034,2022-12-31 00:00:00,3600.0,2022,2022-12-31 00:00:00,2086.0,0.5794444444444444,0.9783950617283951
111034,2023-12-31 00:00:00,600.0,2023,2023-12-31 00:00:00,1436.0,2.3933333333333335,0.5794444444444444
111040,2021-12-31 00:00:00,891.0,2021,2021-12-31 00:00:00,288.0,0.32323232323232326,
111040,2022-12-31 00:00:00,1881.0,2022,2022-12-31 00:00:00,1455.0,0.773524720893142,0.32323232323232326
111040,2023-12-31 00:00:00,594.0,2023,2023-12-31 00:00:00,592.0,0.9966329966329966,0.773524720893142
111042,2021-12-31 00:00:00,561.0,2021,2021-12-31 00:00:00,66.0,0.11764705882352941,
111042,2022-12-31 00:00:00,1386.0,2022,2022-12-31 00:00:00,772.0,0.556998556998557,0.11764705882352941
111042,2023-12-31 00:00:00,33.0,2023,2023-12-31 00:00:00,505.0,15.303030303030303,0.556998556998557
111044,2021-12-31 00:00:00,429.0,2021,2021-12-31 00:00:00,115.0,0.2680652680652681,
111044,2022-12-31 00:00:00,957.0,2022,2022-12-31 00:00:00,665.0,0.6948798328108673,0.2680652680652681
111044,2023-12-31 00:00:00,231.0,2023,2023-12-31 00:00:00,353.0,1.5281385281385282,0.6948798328108673
111046,2021-12-31 00:00:00,165.0,2021,0,0.0,0.0,
